candidate_id	accession	related_accessions	study_or_method	organism	tissue_or_cell_type	library_preparation	rna_selection	sequencing_platform	raw_fastq_available	processed_ont_bam_available	barcode_assignment_method	paired_illumina_available	approx_ont_fastq_gb	cell_count	non_polyadenylated_rnas_expected_to_be_retained	circrna_detection_suitability	long_read_interoperability_suitability	recommended_role	major_limitations	primary_source	archive_source	metadata_checked
sicelore_190	GSE130708	PRJNA541014; SRX5786626; SRR9008425	ScNaUmi-seq / SiCeLoRe	Mus musculus	E18 cortex, hippocampus, and subventricular zone	10x Genomics Chromium Single Cell 3' v2 cDNA re-amplified for ONT; SQK-LSK109	poly(A) / oligo(dT)-captured	PromethION	yes	no public ONT BAM located	SiCeLoRe uses matched Illumina gene/window assignments to correct 10x cell barcodes and UMIs	yes	10.19	190	no; off-target or incomplete molecules may occur, but conventional circRNAs are expected to be depleted	no: unsuitable as biological circRNA validation	high	barcode-aware long-read ingestion and provenance interoperability	Poly(A)-captured 10x cDNA; matched Illumina is integral to the published correction method; about 10 GB for the smallest pooled ONT sample; archived read count differs from the paper's total raw-read description	https://www.nature.com/articles/s41467-020-17800-6	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130708	2026-07-29
sicelore_951	GSE130708	PRJNA541014; SRX5786628; SRR9008427-SRR9008433	ScNaUmi-seq / SiCeLoRe	Mus musculus	E18 cortex, hippocampus, and subventricular zone	10x Genomics Chromium Single Cell 3' v2 cDNA re-amplified for ONT; SQK-LSK109	poly(A) / oligo(dT)-captured	PromethION	yes	no public ONT BAM located	SiCeLoRe uses matched Illumina gene/window assignments to correct 10x cell barcodes and UMIs	yes	58.43	951	no; off-target or incomplete molecules may occur, but conventional circRNAs are expected to be depleted	no: unsuitable as biological circRNA validation	high	scaled barcode-aware interoperability after a smaller smoke test	Poly(A)-captured 10x cDNA; matched Illumina is integral to the published correction method; large workstation download	https://www.nature.com/articles/s41467-020-17800-6	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130708	2026-07-29
sccolor_seq	GSE162053	PRJNA680369; SRP293954	scCOLOR-seq (GEO title uses scBUC-seq)	Homo sapiens; Mus musculus	HEK293T/3T3 species mix; myeloma cell lines; Ewing sarcoma cell line	Drop-seq on DolomiteBio Nadia with dual-nucleotide barcode/UMI beads; amplified cDNA; SQK-LSK109	poly(A) / bead-bound oligo(dT)-captured	MinION and PromethION	yes	no public ONT BAM located	Standalone dual-nucleotide barcode and UMI error detection/correction; no matched short reads required for assignment	no consistently paired public Illumina raw data located in this series	151.38	species mix approximately 1,200; myeloma approximately 500 on MinION and 1,200 on PromethION; other samples vary	no	no: unsuitable as biological circRNA validation	medium	interoperability with a non-10x barcode design after per-cell manifest support	The custom dual-nucleotide bead chemistry is not a standard 10x whitelist workflow; all complete ONT samples are multi-GB; poly(A) capture	https://www.nature.com/articles/s41587-021-00965-w	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162053	2026-07-29
scnapbar	PRJNA722142	SRR14292971; SRR14292972	ScNapBar	Homo sapiens	Flp-In-T-REx-293 wild-type and SMG7-knockout cells	10x Genomics Chromium Single Cell 3' v3 cDNA; ONT direct cDNA kit SQK-DCS109	poly(A) / 10x oligo(dT)-captured	GridION	yes	no public ONT BAM located	ScNapBar Bayesian assignment using a matched Illumina-derived barcode/UMI prior and alignment features	yes	24.82	2,052 Cell Ranger cells; 1,850 after filtering	no	no: unsuitable as biological circRNA validation	high	benchmark of imported barcode assignments and cell provenance	Poly(A)-captured 10x cDNA; published barcode assignment depends on matched Illumina; approximately 25 GB ONT plus approximately 25 GB Illumina FASTQ	https://rnajournal.cshlp.org/content/27/7/763.full	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA722142	2026-07-29
mandalorion_b1a	PRJNA339767	SRP082530; SRR4048177; SRR4048174	Mandalorion	Mus musculus	Seven individually isolated splenic B1a cells	Modified Smart-seq2 full-length cDNA from single cells in wells; early ONT 2D libraries	poly(A) / oligo(dT)-primed	MinION R7.3 and R9.4	yes	no public ONT BAM located	Physical one-cell-per-well library identity; no in-read cell-barcode correction needed	yes; matched aliquots of amplified cDNA for several cells	0.79	7	no	no: unsuitable as biological circRNA validation	high for per-cell ingestion; low for barcode interoperability	recommended first workstation smoke test using complete ONT run SRR4048177; query current archive counts, URL and compressed bytes before transfer	Very small and old dataset with obsolete ONT chemistry; poly(A)-primed; only seven cells; does not exercise pooled-read barcode assignment; archive library-selection metadata says RACE	https://www.nature.com/articles/ncomms16027	https://www.ncbi.nlm.nih.gov/sra/?term=SRP082530	2026-07-29
scan_seq	PRJNA616184	SRP256355	SCAN-seq	Mus musculus	mESCs, oocytes, and preimplantation embryo blastomeres	Single-cell barcoded oligo(dT) reverse transcription and full-length cDNA amplification; pooled ONT ligation libraries	poly(A) / oligo(dT)-primed	PromethION	yes	no public ONT BAM located	Known 24-nt per-cell RT barcodes; reads demultiplexed to individual archived run records	yes for a subset of mESC samples; not matched for every ONT cell	535.28	213 blastomeres sequenced (122 retained after QC), plus mESC controls; 240 ONT run records	no	no: unsuitable as biological circRNA validation	medium	per-cell developmental long-read interoperability, not an initial download	Very large aggregate download; poly(A)-primed; many per-cell runs; developmental biology would complicate a compact application-note example	https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3001017	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA616184	2026-07-29
scan_seq2	GSE203561	PRJNA836381	SCAN-seq2	Homo sapiens; Mus musculus	Six human and three mouse cell lines; spliceosome-inhibitor experiments	Dual-stage 3' and 5' cell barcoding with full-length cDNA amplification; ONT ligation libraries	poly(A) / barcode oligo(dT)-primed	PromethION	yes	no public ONT BAM located	Designed 3' RT and 5' PCR barcodes decoded by the SCAN-seq2 pipeline	no paired Illumina raw data in GSE203561	914.69	5,472 cells across the study	no	no: unsuitable as biological circRNA validation	medium	high-throughput interoperability only after smaller datasets	Nearly 1 TB of ONT FASTQ; custom barcode scheme; poly(A)-primed; unnecessary scale for a smoke test	https://pmc.ncbi.nlm.nih.gov/articles/PMC9834245/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203561	2026-07-29
blaze_cortical	PRJEB54718	ERR9958133-ERR9958136	BLAZE / FLT-seq	Homo sapiens	hiPSC-derived neural progenitors undergoing cortical differentiation	10x Genomics Chromium Single Cell 3' v3.1 full-length cDNA with extended RT; SQK-LSK110 and Q20 ligation libraries	poly(A) / 10x oligo(dT)-captured	GridION and PromethION	yes	no public ONT BAM located	BLAZE identifies 10x barcodes directly from ONT reads; matched Cell Ranger barcodes provide a benchmark	yes	110.43	approximately 1,000; 1,022 Cell Ranger barcodes and 804 default BLAZE barcodes	no	no: unsuitable as biological circRNA validation	high	modern barcode-only-from-ONT follow-up after the per-cell smoke test	Poly(A)-captured 10x cDNA; approximately 110 GB FASTQ across four archived basecalled runs and over 1 TB if raw signal is included; not a small first test	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-023-02907-y	https://www.ebi.ac.uk/ena/browser/view/PRJEB54718	2026-07-29
ciri_long_demo	CIRI-long-v0.6-alpha-demo	CIRI-long_test_data.tar.gz	CIRI-long official demonstration	Mus musculus	synthetic or demonstration chromosome-12 subset; wet-lab origin not separately documented	Official CIRI-long test reads with bundled mm10 chromosome-12 reference and annotation	RCRT compatibility implied by official detector fixture; exact preparation not separately documented	Oxford Nanopore long reads	yes; FASTA in official release archive	not applicable	not single-cell	no	0.036945437	not single-cell	expected by the official detector fixture	adapter contract test only; not independent biological validation	not a generic single-cell interoperability dataset	recommended first future CIRI-long adapter test	Old v0.6-alpha fixture; no published asset digest; data redistribution license not separately stated; bundled reference and annotation have separate licensing considerations	https://github.com/bioinfo-biols/CIRI-long/releases/tag/v0.6-alpha	https://github.com/bioinfo-biols/CIRI-long/releases/download/v0.6-alpha/CIRI-long_test_data.tar.gz	2026-07-29
ciri_long_crr194209	CRR194209	CRA003317	CIRI-long method and protocol dataset	Mus musculus	adult mouse brain	CircRNA enrichment with RNase R treatment, enzymatic poly(A) tailing, rolling-circle reverse transcription, PCR and size selection; bulk library	circRNA-enriched RCRT; enzymatic tailing is not conventional poly(A)-selection	MinION	yes	no public processed BAM required	not single-cell	no	1.293153736	not single-cell	yes	yes; compatible real RCRT library for CIRI-long detector assessment	not intended for single-cell interoperability	recommended real-library follow-up after the official demo	Bulk rather than single-cell; requires a separately obtained compatible mouse reference and annotation plus optional CIRI-long dependency stack	https://www.nature.com/articles/s41596-023-00815-w	https://ngdc.cncb.ac.cn/gsa/browse/CRA003317	2026-07-29
