dataset_id	protocol	organism	cell_type_or_system	source	suggested_use	notes
GSE98664	ramda	Mus musculus	mouse ES / PrE single cells and differentiation series	GEO: https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98664	protocol background and future larger RamDA validation	Original RamDA-seq GEO series; GEO describes single-cell full-length total RNA sequencing with broad mouse ES/PrE coverage.
GSE278944	scRepli-RamDA-seq	Homo sapiens / Mus musculus	scRR-seq family; single-cell DNA replication plus full-length total RNA	GEO family root noted by user	future integrated DNA/RNA/circRNA benchmarking	Use as a metadata anchor for the scRR family; especially valuable for future DNA/RNA/circRNA correlation, but should not be required for the first CIRI3 smoke test.
GSE278941	scRepli-RamDA-seq	Homo sapiens / Mus musculus	scRR-seq related dataset	GEO related series	future family expansion	Keep grouped with the scRR family rather than making it part of the initial smoke workflow.
GSE278951	scRepli-RamDA-seq	Homo sapiens / Mus musculus	scRR-seq related dataset	GEO related series	future family expansion	Related scRR family accession listed by user.
GSE278949	scRepli-RamDA-seq	Homo sapiens / Mus musculus	scRR-seq related dataset	GEO related series	future family expansion	Related scRR family accession listed by user.
GSE278958	scRepli-RamDA-seq	Homo sapiens	IMR-90 single cells; genome-wide DNA replication profiling plus full-length total RNA	GEO: series title visible via GEO search / accession listings	candidate future focused benchmark	Useful focused human subseries for later correlation analyses; not required for first smoke test.
GSE278952	scRepli-RamDA-seq	Homo sapiens	HAP1 mid-S single cells; genome-wide DNA replication profiling plus full-length total RNA	GEO: accession/sample pages indicate HAP1 mid-S	candidate future focused benchmark	Useful focused human subseries for later correlation analyses; not required for first smoke test.
shin-ramda-riken-HEK293T_benchmark	shin-ramda	Homo sapiens	HEK293T benchmark workflow	GitHub: https://github.com/rikenbit/shin-ramda-seq-paper	future Shin-RamDA benchmarking template	Repository component for preparing benchmarking datasets and plots; good reference shape for future protocol-aware examples.
shin-ramda-riken-genomic-breakpoints	shin-ramda	Homo sapiens	genomic breakpoint detection workflow	GitHub: https://github.com/rikenbit/shin-ramda-seq-paper	future advanced workflow reference	Repository component `Detection_of_genomic_breakpoints`; relevant for stranded total-RNA use cases beyond first circRNA smoke tests.
shin-ramda-riken-etoposide-K562-lineage	shin-ramda	Homo sapiens	etoposide-treated K562 lineage estimation workflow	GitHub: https://github.com/rikenbit/shin-ramda-seq-paper	future advanced workflow reference	Repository component `Lineage_estimation_using_etoposide_K562`; useful as a realistic downstream analysis reference.
